inning,inning_side,bases,outs,-4,-3,-2,-1,0,1,2,3,4
1,top,000,0,0.4,0.6,0.7,0.8,0.9,0,0,0,0
1,top,100,0,0.7,0.9,1.1,1.3,1.4,0,0,0,0
1,top,010,0,0.6,0.7,0.9,1,1.2,0,0,0,0
1,top,001,0,0.5,0.6,0.8,0.9,1,0,0,0,0
1,top,110,0,0.8,1.1,1.3,1.6,1.8,0,0,0,0
1,top,101,0,0.6,0.8,1.1,1.3,1.5,0,0,0,0
1,top,011,0,0.6,0.8,1,1.2,1.3,0,0,0,0
1,top,111,0,0.8,1.1,1.4,1.7,2,0,0,0,0
1,top,000,1,0.3,0.4,0.5,0.6,0.6,0,0,0,0
1,top,100,1,0.6,0.7,0.9,1,1.1,0,0,0,0
1,top,010,1,0.6,0.8,0.9,1.1,1.2,0,0,0,0
1,top,001,1,0.7,0.9,1,1.2,1.3,0,0,0,0
1,top,110,1,0.9,1.2,1.5,1.7,1.9,0,0,0,0
1,top,101,1,0.9,1.1,1.3,1.6,1.7,0,0,0,0
1,top,011,1,0.7,0.9,1.1,1.3,1.4,0,0,0,0
1,top,111,1,1.1,1.5,1.8,2.1,2.4,0,0,0,0
1,top,000,2,0.2,0.3,0.3,0.4,0.4,0,0,0,0
1,top,100,2,0.4,0.5,0.6,0.7,0.8,0,0,0,0
1,top,010,2,0.6,0.7,0.9,1,1.1,0,0,0,0
1,top,001,2,0.7,0.9,1,1.2,1.3,0,0,0,0
1,top,110,2,0.8,1,1.3,1.5,1.6,0,0,0,0
1,top,101,2,0.9,1.1,1.4,1.6,1.7,0,0,0,0
1,top,011,2,1,1.2,1.5,1.7,1.9,0,0,0,0
1,top,111,2,1.4,1.8,2.1,2.5,2.7,0,0,0,0
1,bottom,000,0,0.7,0.8,0.9,0.9,0.9,0.8,0.6,0.5,0.4
1,bottom,100,0,1.2,1.4,1.5,1.5,1.4,1.2,1,0.8,0.6
1,bottom,010,0,1.1,1.2,1.3,1.2,1.1,1,0.8,0.6,0.5
1,bottom,001,0,1,1.1,1.1,1.1,1,0.8,0.7,0.5,0.4
1,bottom,110,0,1.7,1.9,2,1.9,1.7,1.5,1.2,0.9,0.7
1,bottom,101,0,1.6,1.7,1.7,1.6,1.4,1.2,1,0.7,0.5
1,bottom,011,0,1.4,1.5,1.5,1.4,1.3,1.1,0.9,0.7,0.5
1,bottom,111,0,2.2,2.3,2.3,2.1,1.9,1.6,1.2,0.9,0.7
1,bottom,000,1,0.5,0.6,0.6,0.7,0.6,0.6,0.5,0.4,0.3
1,bottom,100,1,1,1.1,1.2,1.2,1.1,1,0.8,0.7,0.5
1,bottom,010,1,1,1.1,1.2,1.2,1.2,1,0.9,0.7,0.5
1,bottom,001,1,1,1.1,1.3,1.3,1.3,1.1,1,0.8,0.6
1,bottom,110,1,1.7,1.9,2,2,1.8,1.6,1.3,1,0.8
1,bottom,101,1,1.5,1.7,1.8,1.8,1.7,1.5,1.2,1,0.8
1,bottom,011,1,1.4,1.5,1.6,1.5,1.4,1.2,1,0.8,0.6
1,bottom,111,1,2.4,2.6,2.6,2.6,2.3,2,1.6,1.3,1
1,bottom,000,2,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2
1,bottom,100,2,0.6,0.7,0.8,0.8,0.8,0.7,0.6,0.5,0.4
1,bottom,010,2,0.8,1,1.1,1.1,1.1,1,0.8,0.7,0.5
1,bottom,001,2,1,1.1,1.3,1.3,1.3,1.2,1,0.8,0.6
1,bottom,110,2,1.3,1.5,1.6,1.7,1.6,1.4,1.2,0.9,0.7
1,bottom,101,2,1.4,1.6,1.7,1.8,1.7,1.5,1.3,1,0.8
1,bottom,011,2,1.6,1.8,2,2,1.9,1.7,1.4,1.1,0.8
1,bottom,111,2,2.4,2.7,2.9,2.9,2.7,2.4,2,1.5,1.2
2,top,000,0,0.4,0.6,0.7,0.8,0.9,1,0.9,0.8,0.7
2,top,100,0,0.7,0.9,1.1,1.3,1.5,1.5,1.5,1.4,1.2
2,top,010,0,0.5,0.7,0.9,1.1,1.2,1.3,1.3,1.2,1
2,top,001,0,0.4,0.6,0.8,0.9,1.1,1.1,1.2,1.1,0.9
2,top,110,0,0.8,1.1,1.4,1.6,1.9,2,2,1.9,1.7
2,top,101,0,0.6,0.8,1.1,1.3,1.6,1.7,1.8,1.7,1.5
2,top,011,0,0.6,0.8,1,1.2,1.4,1.5,1.6,1.5,1.4
2,top,111,0,0.8,1.1,1.4,1.7,2,2.3,2.4,2.3,2.1
2,top,000,1,0.3,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.5
2,top,100,1,0.6,0.7,0.9,1.1,1.2,1.3,1.2,1.1,0.9
2,top,010,1,0.6,0.8,1,1.1,1.2,1.3,1.2,1.1,0.9
2,top,001,1,0.7,0.9,1.1,1.2,1.3,1.3,1.3,1.1,0.9
2,top,110,1,0.9,1.2,1.5,1.8,2,2.1,2,1.8,1.6
2,top,101,1,0.9,1.1,1.4,1.6,1.8,1.8,1.8,1.6,1.4
2,top,011,1,0.7,0.9,1.1,1.3,1.5,1.6,1.6,1.5,1.3
2,top,111,1,1.1,1.5,1.8,2.2,2.5,2.7,2.7,2.6,2.3
2,top,000,2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3
2,top,100,2,0.4,0.5,0.7,0.8,0.8,0.9,0.8,0.7,0.6
2,top,010,2,0.6,0.8,0.9,1.1,1.2,1.2,1.1,0.9,0.8
2,top,001,2,0.7,0.9,1.1,1.3,1.4,1.4,1.2,1.1,0.9
2,top,110,2,0.8,1,1.3,1.5,1.7,1.7,1.6,1.4,1.2
2,top,101,2,0.9,1.1,1.4,1.6,1.8,1.8,1.7,1.5,1.3
